Date,Description,Amount,Running Total
2024-03-01,Regular Monthly Interest – Feb 2024,-16.28,0.155
2024-03-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.988333333
2024-03-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.405
2024-03-04,Bank Interest 12 December 2023 to 3 March 2024,0.05,5.455
2024-03-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.37166667
2024-03-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.88
2024-03-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.23
2024-03-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.495
2024-04-01,Regular Monthly Interest – Mar 2024,-16.33,0.165
2024-04-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.998333333
2024-04-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.415
2024-04-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.33166667
2024-04-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.84
2024-04-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.19
2024-04-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.455
2024-05-01,Regular Monthly Interest – Apr 2024,-16.28,0.175
2024-05-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,6.008333333
2024-05-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.425
2024-05-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.34166667
2024-05-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.85
2024-05-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.2
2024-05-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.465
2024-06-01,Regular Monthly Interest – May 2024,-16.28,0.185
2024-06-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,6.018333333
2024-06-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.435
2024-06-03,Bank Interest (04/03/2024 to 02/06/2024),0.05,5.485
