Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9466763,8646177,"£950,000","£387,500",40.79%,18 Oct 2024,£22.668750,0.41%,Extended (No ICF),2,9466763,1,18/01/2024,274
9694592,8503251,"£1,275,000","£632,500",49.61%,22 Aug 2024,£37.001250,0.66%,Extended (No ICF),2,9694592,1,22/08/2024,0
9484825,8259470,"£300,000","£129,375",43.13%,15 Aug 2024,£7.568437,0.14%,Extended (No ICF),2,9484825,1,15/08/2024,0
9176489,8450563,"£720,000","£360,000",50.00%,27 Oct 2024,£21.060000,0.38%,Extended (No ICF),2,9176489,1,27/04/2024,183
9146926,8553312,"£1,250,000","£325,000",49.20%,26 Jan 2025,£19.012500,0.34%,Extended (No ICF),2,9146926,5,26/01/2024,366
9746767,8361309,"£550,000","£127,000",23.09%,20 Jan 2025,£7.429500,0.13%,Extended (No ICF),1,9746767,1,20/01/2024,366
9255922,8519150,"£265,000","£87,000",32.83%,05 Sep 2024,£5.089500,0.09%,Extended (No ICF),1,9255922,1,05/03/2024,184
9121594,8519150,"£900,000","£380,000",42.22%,12 Sep 2024,£22.230000,0.40%,Extended (No ICF),2,9121594,1,12/03/2024,184
9352668,8372468,"£685,000","£250,000",49.93%,13 Feb 2025,£14.625000,0.26%,Extended (No ICF),2,9352668,3,13/08/2024,184
9502673,8770425,"£680,000","£250,000",50.00%,14 Aug 2024,£14.625000,0.26%,Extended (No ICF),2,9502673,3,14/08/2024,0
9177922,8202679,"£445,000","£125,000",28.09%,26 Oct 2024,£7.312500,0.13%,Extended (No ICF),2,9177922,1,26/07/2024,92
9854106 b,8152787,"£3,448,105","£300,000",46.81%,22 Dec 2024,£17.550000,0.31%,Extended (No ICF),4,9854106,3,22/12/2023,366
9170966 b,8779897,"£1,500,000","£50,000",36.17%,02 Feb 2025,£2.925000,0.05%,Extended (No ICF),2,9170966,3,02/08/2024,184
9371113,8255061,"£500,000","£212,500",49.50%,16 Aug 2024,£12.431250,0.22%,Extended (No ICF),2,9371113,2,16/08/2024,0
9591028,8210464,"£920,000","£430,000",50.00%,18 Nov 2024,£25.155000,0.45%,Extended (No ICF),2,9591028,2,18/05/2024,184
9726017,8544998,"£272,500","£136,250",50.00%,18 Sep 2024,£7.970625,0.14%,Extended (No ICF),2,9726017,1,18/03/2024,184
9833231,8124451,"£760,000","£315,000",41.45%,01 Dec 2024,£18.427500,0.33%,Extended (No ICF),2,9833231,1,01/12/2024,0
9492930,8751949,"£775,000","£322,500",46.94%,17 Aug 2024,£18.866250,0.34%,Extended (No ICF),2,9492930,2,17/08/2024,0
9225128,8520081,"£1,500,000","£365,000",39.93%,17 Oct 2024,£21.352500,0.38%,Extended (No ICF),2,9225128,3,17/04/2024,183
9224661,8711007,"£1,071,952","£275,000",48.98%,27 Dec 2024,£16.087500,0.29%,Extended (No ICF),2,9224661,6,27/12/2024,0
9530969,8432575,"£450,000","£221,250",49.17%,20 Sep 2024,£12.943125,0.23%,Extended (No ICF),2,9530969,1,20/06/2024,92
9352668 b,8372468,"£685,000","£57,000",49.93%,13 Feb 2025,£3.334500,0.06%,Extended (No ICF),2,9352668,3,13/08/2024,184
9502673 b,8770425,"£680,000","£33,000",50.00%,14 Aug 2024,£1.930500,0.03%,Extended (No ICF),2,9502673,3,14/08/2024,0
9839202,8611535,"£700,000","£350,000",50.00%,27 Nov 2024,£20.475000,0.37%,Extended (No ICF),2,9839202,1,27/05/2024,184
9931219,8517698,"£600,000","£300,000",50.00%,24 Jan 2025,£17.550000,0.31%,Extended (No ICF),2,9931219,1,24/01/2025,0
9619207,8108866,"£1,952,000","£761,280",39.00%,20 Aug 2024,£44.534880,0.80%,Live,2,9619207,1,20/08/2024,0
9580956,8884054,"£915,000","£457,500",50.00%,13 Oct 2024,£26.763750,0.48%,Extended (No ICF),2,9580956,1,13/04/2024,183
9894498,8602446,"£300,000","£135,000",45.00%,24 Aug 2024,£7.897500,0.14%,Live,2,9894498,1,24/08/2024,0
9475401,8161341,"£1,300,000","£650,000",50.00%,30 Aug 2024,£38.025000,0.68%,Live,2,9475401,1,30/08/2024,0
9854738,8683849,"£380,000","£165,000",43.42%,04 Sep 2024,£9.652500,0.17%,Live,2,9854738,1,04/09/2024,0
9245850,8824575,"£1,590,000","£545,000",34.28%,11 Sep 2025,£31.882500,0.57%,Live,1,9245850,1,11/09/2025,0
9975478,8202679,"£675,000","£240,000",46.67%,07 Sep 2024,£14.040000,0.25%,Live,2,9975478,2,07/09/2024,0
9348328,8879852,"£800,000","£344,000",43.00%,01 Mar 2025,£20.124000,0.36%,Extended (No ICF),2,9348328,1,01/03/2024,365
9725716 b,8862114,"£2,478,340","£200,000",43.54%,29 Oct 2024,£11.700000,0.21%,Extended (No ICF),4,9725716,2,29/04/2024,183
9835092,8791204,"£1,080,000","£150,000",13.89%,27 Sep 2024,£8.775000,0.16%,Live,1,9835092,1,27/09/2024,0
9292092,8108866,"£1,235,000","£389,000",31.50%,03 Nov 2024,£22.756500,0.41%,Extended (No ICF),1,9292092,1,03/07/2024,123
9311193,8690752,"£450,000","£225,000",50.00%,26 Oct 2024,£13.162500,0.24%,Live,2,9311193,1,26/10/2024,0
9693700,8915555,"£580,000","£290,000",50.00%,25 Oct 2024,£16.965000,0.30%,Live,2,9693700,1,25/10/2024,0
9503158,8517698,"£700,000","£350,000",50.00%,30 Oct 2024,£20.475000,0.37%,Live,2,9503158,1,30/10/2024,0
9655565,8436350,"£300,000","£113,750",37.92%,19 Oct 2024,£6.654375,0.12%,Live,2,9655565,1,19/10/2024,0
9225128 b,8520081,"£1,500,000","£203,000",39.93%,17 Oct 2024,£11.875500,0.21%,Extended (No ICF),2,9225128,3,17/04/2024,183
9706937,8525525,"£620,000","£250,000",40.32%,01 Nov 2024,£14.625000,0.26%,Live,2,9706937,1,01/11/2024,0
9776405,8198994,"£3,750,000","£1,147,950",30.61%,01 Nov 2024,£67.155075,1.20%,Live,1,9776405,1,01/11/2024,0
9502673 c,8770425,"£680,000","£57,000",50.00%,14 Aug 2024,£3.334500,0.06%,Extended (No ICF),2,9502673,3,14/08/2024,0
9352668 c,8372468,"£685,000","£35,000",49.93%,13 Feb 2025,£2.047500,0.04%,Extended (No ICF),2,9352668,3,13/08/2024,184
9919857,8755537,"£4,140,080","£1,296,375",42.07%,14 Nov 2024,£75.837937,1.36%,Live,4,9919857,8,14/11/2024,0
9748134,8227943,"£635,000","£215,000",45.67%,20 Nov 2024,£12.577500,0.23%,Live,2,9748134,2,20/11/2024,0
9606550,8681445,"£1,500,000","£750,000",50.00%,27 Nov 2024,£43.875000,0.79%,Live,2,9606550,1,27/11/2024,0
9982187,8190774,"£2,285,000","£1,100,000",48.14%,27 Nov 2024,£64.350000,1.15%,Live,2,9982187,1,27/11/2024,0
9231198,8441991,"£2,069,617","£855,000",49.91%,29 May 2025,£50.017500,0.90%,Live,4,9231198,4,29/05/2025,0
