Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9280923,8568034,"£610,000","£100,000",49.59%,08 Apr 2025,£5.532000,0.10%,Live,2,9280923,3,08/04/2025,0
9387814,8198507,"£380,000","£190,000",50.00%,08 Mar 2025,£10.510800,0.18%,Live,2,9387814,1,08/03/2025,0
9455066 f,8587271,"£980,000","£27,000",49.95%,22 Dec 2024,£1.493640,0.03%,Extended (No ICF),2,9455066,6,22/12/2024,0
9443879,8966606,"£425,000","£117,500",50.00%,11 Apr 2025,£6.500100,0.11%,Live,2,9443879,2,11/04/2025,0
9810145,8535646,"£1,100,000","£546,000",49.64%,11 Apr 2025,£30.204720,0.53%,Live,2,9810145,1,11/04/2025,0
9645647 b,8666945,"£545,750","£20,000",46.54%,01 Feb 2025,£1.106400,0.02%,Live,2,9645647,2,01/02/2025,0
9318054,8999926,"£500,000","£250,000",50.00%,11 Apr 2025,£13.830000,0.24%,Live,2,9318054,1,11/04/2025,0
9919857 d,8755537,"£4,599,864","£21,000",45.91%,14 Nov 2025,£1.161720,0.02%,Extended (No ICF),4,9919857,12,14/11/2024,365
9116419 b,8543592,"£4,435,000","£85,000",38.84%,16 Jun 2025,£4.702200,0.08%,Extended (No ICF),2,9116419,3,16/12/2023,548
9609538,8116467,"£1,100,000","£295,000",41.73%,17 Mar 2025,£16.319400,0.29%,Live,2,9609538,4,17/03/2025,0
9495342,8945882,"£1,300,000","£400,000",49.65%,18 Apr 2025,£22.128000,0.39%,Live,2,9495342,3,18/04/2025,0
9850896,8727048,"£550,000","£240,000",48.09%,16 Apr 2025,£13.276800,0.23%,Live,2,9850896,2,16/04/2025,0
9495342 b,8945882,"£1,300,000","£250,000",49.65%,18 Apr 2025,£13.830000,0.24%,Live,2,9495342,3,18/04/2025,0
9741403 c,8632805,"£650,000","£40,000",50.00%,01 Jul 2025,£2.212800,0.04%,Extended (No ICF),2,9741403,3,01/01/2025,181
9280923 b,8568034,"£610,000","£137,500",49.59%,08 Apr 2025,£7.606500,0.13%,Live,2,9280923,3,08/04/2025,0
9173264 d,8630405,"£1,650,000","£35,000",49.70%,21 Jan 2025,£1.936200,0.03%,Live,2,9173264,4,21/01/2025,0
9751641,8277408,"£365,000","£182,500",50.00%,17 Apr 2025,£10.095900,0.18%,Live,2,9751641,1,17/04/2025,0
9945321,8477362,"£1,760,000","£620,000",47.73%,20 Jun 2025,£34.298400,0.60%,Extended (No ICF),2,9945321,3,20/12/2024,182
9681213,8413080,"£575,000","£275,000",47.83%,25 Apr 2025,£15.213000,0.27%,Live,2,9681213,1,25/04/2025,0
9945321 b,8477362,"£1,760,000","£150,000",47.73%,20 Jun 2025,£8.298000,0.15%,Extended (No ICF),2,9945321,3,20/12/2024,182
9945321 c,8477362,"£1,760,000","£70,000",47.73%,20 Jun 2025,£3.872400,0.07%,Extended (No ICF),2,9945321,3,20/12/2024,182
9809247,8662726,"£435,000","£217,500",50.00%,02 May 2025,£12.032100,0.21%,Live,2,9809247,1,02/05/2025,0
9553782,8132827,"£1,780,000","£477,000",31.01%,23 Apr 2025,£26.387640,0.46%,Live,1,9553782,4,23/04/2025,0
9903698,8180124,"£650,000","£320,000",49.23%,09 Feb 2025,£17.702400,0.31%,Live,2,9903698,1,09/02/2025,0
9749939,8221028,"£425,000","£212,500",50.00%,12 May 2025,£11.755500,0.21%,Live,2,9749939,1,12/05/2025,0
9919857 e,8755537,"£4,599,864","£32,500",45.91%,14 Nov 2025,£1.797900,0.03%,Extended (No ICF),4,9919857,12,14/11/2024,365
9846007,8346656,"£605,000","£267,500",50.00%,12 May 2025,£14.798100,0.26%,Live,2,9846007,2,12/05/2025,0
9108295,8547913,"£625,000","£270,000",50.00%,09 May 2025,£14.936400,0.26%,Live,2,9108295,2,09/05/2025,0
9224661 d,8711007,"£1,407,098","£75,000",48.89%,27 Jun 2025,£4.149000,0.07%,Extended (No ICF),2,9224661,9,27/12/2024,182
9281955 b,8119838,"£1,021,130","£50,000",47.99%,21 Feb 2025,£2.766000,0.05%,Live,2,9281955,3,21/02/2025,0
9320406,8727010,"£480,000","£200,000",50.00%,14 Apr 2025,£11.064000,0.19%,Live,2,9320406,3,14/04/2025,0
9135828,8735014,"£179,000","£89,500",50.00%,19 May 2025,£4.951140,0.09%,Live,2,9135828,1,19/05/2025,0
9134044,8735014,"£183,000","£91,500",50.00%,19 May 2025,£5.061780,0.09%,Live,2,9134044,1,19/05/2025,0
