Date,Description,Amount,Running Total,Modified Amt
2024-01-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.30166667,4.916666667
2024-01-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.81,-0.4916666667
2024-01-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.16,7.35
2024-01-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.425,-0.735
2024-02-01,Regular Monthly Interest – Jan 2024,-16.28,0.145,-16.28
2024-02-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.978333333,5.833333333
2024-02-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.395,-0.5833333333
2024-02-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.31166667,4.916666667
2024-02-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.82,-0.4916666667
2024-02-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.17,7.35
2024-02-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.435,-0.735
2024-03-01,Regular Monthly Interest – Feb 2024,-16.28,0.155,-16.28
2024-03-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.988333333,5.833333333
2024-03-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.405,-0.5833333333
2024-03-04,Bank Interest 12 December 2023 to 3 March 2024,0.05,5.455,0.05
2024-03-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.37166667,4.916666667
2024-03-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.88,-0.4916666667
2024-03-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.23,7.35
2024-03-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.495,-0.735
2024-04-01,Regular Monthly Interest – Mar 2024,-16.33,0.165,-16.33
2024-04-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.998333333,5.833333333
2024-04-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.415,-0.5833333333
2024-04-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.33166667,4.916666667
2024-04-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.84,-0.4916666667
2024-04-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.19,7.35
2024-04-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.455,-0.735
2024-05-01,Regular Monthly Interest – Apr 2024,-16.28,0.175,-16.28
2024-05-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,6.008333333,5.833333333
2024-05-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.425,-0.5833333333
2024-05-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.34166667,4.916666667
2024-05-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.85,-0.4916666667
2024-05-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.2,7.35
2024-05-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.465,-0.735
2024-06-01,Regular Monthly Interest – May 2024,-16.28,0.185,-16.28
2024-06-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,6.018333333,5.833333333
2024-06-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.435,-0.5833333333
2024-06-03,Bank Interest (04/03/2024 to 02/06/2024),0.05,5.485,0.05
2024-06-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.40166667,4.916666667
2024-06-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.91,-0.4916666667
2024-06-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.26,7.35
2024-06-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.525,-0.735
2024-07-01,Regular Monthly Interest – Jun 2024,-16.33,0.195,-16.33
2024-07-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,6.028333333,5.833333333
2024-07-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.445,-0.5833333333
2024-07-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.36166667,4.916666667
2024-07-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.87,-0.4916666667
2024-07-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.22,7.35
2024-07-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.485,-0.735
2024-08-01,Regular Monthly Interest – Jul 2024,-16.28,0.205,-16.28
2024-08-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,6.038333333,5.833333333
2024-08-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.455,-0.5833333333
2024-08-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.37166667,4.916666667
2024-08-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.88,-0.4916666667
2024-08-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.23,7.35
2024-08-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.495,-0.735
2024-08-27,DEPOSIT,1000,1016.495,0
2024-09-01,Regular Monthly Interest â€“ Aug 2024,-16.28,1000.215,-16.28
2024-09-02,Bank Interest (from 03/06/2024 to 02/09/2024),0.27,1000.485,0.27
2024-09-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,1006.318333,5.833333333
2024-09-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.583333333,1005.735,-0.583333333
2024-09-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,1010.651667,4.916666667
2024-09-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.491666667,1010.16,-0.491666667
2024-09-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,1017.51,7.35
2024-09-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,1016.775,-0.735
2024-09-27,PLL1148 - Knowsley Light Industrial - Tranche A - Pre Draw Down Interest 2 days,0.46,1017.235,0.46
2024-09-27,PLL1148 - Knowsley Light Industrial - Tranche A - Pre Draw Down Interest 2 days - FEE,-0.05,1017.185,-0.05
2024-09-27,Primary Loan Invesments For Knowsley Light Industrial - Tranche A ( 1 loan part ),-1000,17.185,-1000
